

====================================================
Starting ETL.Sp_FPDSdelta_5_FixCodeNameMismatch
Start Time: 2026-06-13 12:08:37
Total record to process: 1425010
====================================================
sam_exception









recipient_duns	recipient_uei	recipient_parent_duns	recipient_parent_uei	contract_transaction_unique_key



























productorservicecode	product_or_service_code_description	minofsignedyear	maxofsignedyear	minoflast_modified_year	maxoflast_modified_year	PlatformPortfolio	ProductServiceOrRnDarea	RnD_budgetActivity
AN14	HEALTH R&D SERVICES; HEALTH CARE SERVICES; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AN15	BIOMEDICAL (OPERATIONAL)	2001	2009	2002	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN15	R&D- MEDICAL: BIOMEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN15	HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AN23	DRUGS DEPENDENCY (ADVANCED)	2002	2009	2008	2018	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN23	R&D- MEDICAL: DRUG DEPENDENCY (ADVANCED DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN23	HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AN24	DRUGS DEPENDENCY (ENGINEERING)	2003	2004	2005	2005	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN24	HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AN25	DRUGS DEPENDENCY (OPERATIONAL)	2004	2005	2005	2005	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN25	R&D- MEDICAL: DRUG DEPENDENCY (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2021	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AN25	HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AN33	ALCOHOL DEPENDENCY (ADVANCED)	2007	2007	2007	2008	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN33	HEALTH R&D SERVICES; CONSUMER AND OCCUPATIONAL HEALTH AND SAFETY; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AN34	ALCOHOL DEPENDENCY (ENGINEERING)	2006	2006	2021	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN34	HEALTH R&D SERVICES; CONSUMER AND OCCUPATIONAL HEALTH AND SAFETY; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AN35	ALCOHOL DEPENDENCY (OPERATIONAL)	2007	2007	2008	2008	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
